customer_id,customer_segment
7590-VHVEG,Gold
5575-GNVDE,Gold
3668-QPYBK,Silver
7795-CFOCW,Gold
9237-HQITU,Silver
9305-CDSKC,Platinum
1452-KIOVK,Platinum
6713-OKOMC,Gold
7892-POOKP,Platinum
6388-TABGU,Platinum
9763-GRSKD,Gold
7469-LKBCI,Gold
8091-TTVAX,Platinum
0280-XJGEX,Platinum
5129-JLPIS,Platinum
3655-SNQYZ,Platinum
8191-XWSZG,Gold
9959-WOFKT,Platinum
4190-MFLUW,Gold
4183-MYFRB,Platinum
8779-QRDMV,Silver
1680-VDCWW,Gold
1066-JKSGK,Gold
3638-WEABW,Platinum
6322-HRPFA,Platinum
6865-JZNKO,Gold
6467-CHFZW,Platinum
8665-UTDHZ,Gold
5248-YGIJN,Platinum
8773-HHUOZ,Gold
3841-NFECX,Platinum
4929-XIHVW,Silver
6827-IEAUQ,Platinum
7310-EGVHZ,Gold
3413-BMNZE,Silver
6234-RAAPL,Platinum
6047-YHPVI,Silver
6572-ADKRS,Gold
5380-WJKOV,Platinum
8168-UQWWF,Platinum
8865-TNMNX,Gold
9489-DEDVP,Platinum
9867-JCZSP,Gold
4671-VJLCL,Platinum
4080-IIARD,Platinum
3714-NTNFO,Platinum
5948-UJZLF,Silver
7760-OYPDY,Silver
7639-LIAYI,Platinum
2954-PIBKO,Platinum
8012-SOUDQ,Platinum
9420-LOJKX,Platinum
6575-SUVOI,Platinum
7495-OOKFY,Silver
4667-QONEA,Platinum
1658-BYGOY,Platinum
8769-KKTPH,Platinum
5067-XJQFU,Platinum
3957-SQXML,Gold
5954-BDFSG,Platinum
0434-CSFON,Platinum
1215-FIGMP,Platinum
0526-SXDJP,Gold
0557-ASKVU,Gold
5698-BQJOH,Platinum
5122-CYFXA,Silver
8627-ZYGSZ,Platinum
3410-YOQBQ,Platinum
3170-NMYVV,Gold
7410-OIEDU,Gold
2273-QCKXA,Silver
0731-EBJQB,Gold
1891-QRQSA,Platinum
8028-PNXHQ,Gold
5630-AHZIL,Silver
2673-CXQEU,Platinum
6416-JNVRK,Gold
5590-ZSKRV,Gold
0191-ZHSKZ,Platinum
3887-PBQAO,Gold
5919-TMRGD,Silver
8108-UXRQN,Gold
9191-MYQKX,Gold
9919-YLNNG,Platinum
0318-ZOPWS,Gold
4445-ZJNMU,Platinum
4808-YNLEU,Gold
1862-QRWPE,Gold
2796-NNUFI,Gold
3016-KSVCP,Gold
4767-HZZHQ,Platinum
2424-WVHPL,Silver
7233-PAHHL,Platinum
6067-NGCEU,Platinum
9848-JQJTX,Platinum
8637-XJIVR,Gold
9803-FTJCG,Platinum
0278-YXOOG,Gold
3212-KXOCR,Gold
4598-XLKNJ,Platinum
6380-ARCEH,Gold
3679-XASPY,Gold
7123-WQUHX,Platinum
5386-THSLQ,Gold
3192-NQECA,Platinum
6180-YBIQI,Gold
6728-DKUCO,Platinum
9750-BOOHV,Gold
8597-CWYHH,Platinum
2848-YXSMW,Gold
0486-HECZI,Platinum
4549-ZDQYY,Platinum
5712-AHQNN,Platinum
4846-WHAFZ,Gold
5256-SKJGO,Platinum
3071-VBYPO,Silver
9560-BBZXK,Gold
5299-RULOA,Platinum
8402-OOOHJ,Gold
9445-ZUEQE,Platinum
1091-SOZGA,Platinum
2928-HLDBA,Gold
0404-SWRVG,Silver
6497-TILVL,Gold
7219-TLZHO,Gold
4622-YNKIJ,Platinum
4412-YLTKF,Platinum
6734-PSBAW,Gold
3930-ZGWVE,Gold
2639-UGMAZ,Platinum
2876-GZYZC,Gold
6207-WIOLX,Platinum
8587-XYZSF,Gold
3091-FYHKI,Silver
2372-HWUHI,Silver
7799-LGRDP,Gold
7850-VWJUU,Gold
3774-VBNXY,Gold
6217-KDYWC,Gold
0390-DCFDQ,Silver
3146-MSEGF,Platinum
4080-OGPJL,Platinum
1095-WGNGG,Platinum
2636-SJDOU,Platinum
1131-QQZEB,Gold
5716-EZXZN,Platinum
6837-BJYDQ,Gold
2135-RXIHG,Silver
6440-DKQGE,Platinum
3466-BYAVD,Platinum
3780-YVMFA,Gold
3874-EQOEP,Silver
1679-JRFBR,Platinum
9073-ZZIAY,Platinum
3077-RSNTJ,Gold
6551-GNYDG,Gold
9167-APMXZ,Platinum
2749-CTKAJ,Gold
6371-NZYEG,Gold
7554-NEWDD,Gold
8992-VONJD,Gold
0867-MKZVY,Platinum
4482-EWFMI,Silver
4648-YPBTM,Platinum
2907-ILJBN,Gold
6345-FZOQH,Gold
3376-BMGFE,Silver
5997-OPVFA,Platinum
3445-HXXGF,Gold
1159-WFSGR,Gold
7654-YWJUF,Platinum
1875-QIVME,Silver
6727-IOTLZ,Platinum
0691-JVSYA,Platinum
5918-VUKWP,Gold
1744-JHKYS,Gold
2656-FMOKZ,Gold
2070-FNEXE,Gold
5947-SGKCL,Platinum
3712-PKXZA,Gold
6317-YPKDH,Gold
6582-OIVSP,Silver
9367-WXLCH,Silver
5524-KHNJP,Platinum
1918-ZBFQJ,Gold
1024-GUALD,Gold
4827-USJHP,Gold
8167-GJLRN,Gold
0956-SYCWG,Gold
8017-UVSZU,Gold
7100-FQPRV,Platinum
2472-OVKUP,Silver
2984-RGEYA,Gold
9680-NIAUV,Platinum
2146-EGVDT,Gold
2604-IJPDU,Platinum
9178-JHUVJ,Gold
6168-YBYNP,Platinum
7255-SSFBC,Platinum
3645-DEYGF,Gold
9323-HGFWY,Platinum
8544-GOQSH,Gold
3363-DTIVD,Platinum
7018-WBJNK,Gold
9142-KZXOP,Gold
7674-YTAFD,Platinum
6348-SNFUS,Platinum
1285-OKIPP,Silver
7825-ECJRF,Platinum
1347-KTTTA,Platinum
7841-TZDMQ,Silver
4195-NZGTA,Gold
7157-SMCFK,Gold
4709-LKHYG,Gold
