feature,mutual_information,chi2_stat,p_value
contract_type,0.09684444124317171,1184.5965720837926,5.863038300673391e-258
tech_support,0.07653761939573989,828.1970684587394,1.4430840279998987e-180
online_security,0.06697405757707875,849.9989679615965,2.661149635176552e-185
tenure_months,0.06415490421680325,,
internet_service,0.05630098406068407,732.309589667794,9.571788222840544e-160
payment_method,0.046343818246478374,648.1423274814,3.6823546520097993e-140
device_protection,0.046034151778779675,558.419369407389,5.505219496457244e-122
online_backup,0.04588771027980343,601.812790113409,2.0797592160864276e-131
monthly_charges,0.04384465232237855,,
total_charges,0.043491872781232566,,
streaming_movies,0.03866103189123615,375.6614793452656,2.667756755723681e-82
streaming_tv,0.029471581111887524,374.2039433109813,5.528994485739183e-82
paperless_billing,0.02017443141213371,258.27764906707307,4.073354668665985e-58
dependents,0.014987175158354349,189.12924940423474,4.9249216612154196e-43
partner,0.009880563191673186,158.7333820309922,2.1399113440759935e-36
senior_citizen,0.0030947372759078107,159.42630036838742,1.510066805092378e-36
gender,0.00019500563297780715,0.4840828822091383,0.48657873605618596
