customer_id,R_score,F_score,M_score,rfm_score,persona
7590-VHVEG,1,1,1,111,Lost Customers
5575-GNVDE,4,3,3,433,Potential Loyalists
3668-QPYBK,2,1,1,211,Lost Customers
7795-CFOCW,4,4,3,443,Potential Loyalists
9237-HQITU,1,1,1,111,Lost Customers
9305-CDSKC,1,2,2,122,Lost Customers
1452-KIOVK,2,3,3,233,At Risk
6713-OKOMC,3,2,2,322,About to Sleep
7892-POOKP,1,3,4,134,At Risk
6388-TABGU,5,5,4,554,Champions
9763-GRSKD,3,2,2,322,About to Sleep
7469-LKBCI,5,2,2,522,About to Sleep
8091-TTVAX,3,4,5,345,Loyal Customers
0280-XJGEX,2,4,5,245,At Risk
5129-JLPIS,2,3,4,234,At Risk
3655-SNQYZ,4,5,5,455,Champions
8191-XWSZG,5,4,3,543,Potential Loyalists
9959-WOFKT,4,5,5,455,Champions
4190-MFLUW,3,2,2,322,About to Sleep
4183-MYFRB,2,3,3,233,At Risk
8779-QRDMV,1,1,1,111,Lost Customers
1680-VDCWW,4,2,1,421,About to Sleep
1066-JKSGK,3,1,1,311,About to Sleep
3638-WEABW,5,4,4,544,Champions
6322-HRPFA,4,4,4,444,Champions
6865-JZNKO,4,3,3,433,Potential Loyalists
6467-CHFZW,2,4,5,245,At Risk
8665-UTDHZ,1,1,1,111,Lost Customers
5248-YGIJN,5,5,5,555,Champions
8773-HHUOZ,3,2,3,323,About to Sleep
3841-NFECX,4,5,5,455,Champions
4929-XIHVW,1,1,1,111,Lost Customers
6827-IEAUQ,5,3,3,533,Potential Loyalists
7310-EGVHZ,3,1,1,311,About to Sleep
3413-BMNZE,2,1,1,211,Lost Customers
6234-RAAPL,5,5,5,555,Champions
6047-YHPVI,1,1,2,112,Lost Customers
6572-ADKRS,3,4,4,344,Loyal Customers
5380-WJKOV,1,3,4,134,At Risk
8168-UQWWF,1,2,3,123,Lost Customers
8865-TNMNX,4,2,2,422,About to Sleep
9489-DEDVP,5,5,5,555,Champions
9867-JCZSP,5,2,2,522,About to Sleep
4671-VJLCL,5,5,5,555,Champions
4080-IIARD,3,2,3,323,About to Sleep
3714-NTNFO,2,4,4,244,At Risk
5948-UJZLF,2,1,1,211,Lost Customers
7760-OYPDY,1,1,1,111,Lost Customers
7639-LIAYI,4,4,4,444,Champions
2954-PIBKO,5,5,4,554,Champions
8012-SOUDQ,2,4,4,244,At Risk
9420-LOJKX,2,2,3,223,Lost Customers
6575-SUVOI,3,3,3,333,Potential Loyalists
7495-OOKFY,1,2,2,122,Lost Customers
4667-QONEA,4,4,4,444,Champions
1658-BYGOY,1,2,3,123,Lost Customers
8769-KKTPH,3,5,5,355,Loyal Customers
5067-XJQFU,3,5,5,355,Loyal Customers
3957-SQXML,5,3,2,532,Potential Loyalists
5954-BDFSG,4,5,5,455,Champions
0434-CSFON,1,4,5,145,At Risk
1215-FIGMP,2,4,5,245,At Risk
0526-SXDJP,5,5,4,554,Champions
0557-ASKVU,4,2,3,423,About to Sleep
5698-BQJOH,1,2,2,122,Lost Customers
5122-CYFXA,1,1,1,111,Lost Customers
8627-ZYGSZ,3,4,4,344,Loyal Customers
3410-YOQBQ,5,3,4,534,Loyal Customers
3170-NMYVV,5,4,2,542,Potential Loyalists
7410-OIEDU,2,2,2,222,Lost Customers
2273-QCKXA,2,1,1,211,Lost Customers
0731-EBJQB,4,4,3,443,Potential Loyalists
1891-QRQSA,4,5,5,455,Champions
8028-PNXHQ,5,5,3,553,Potential Loyalists
5630-AHZIL,2,1,1,211,Lost Customers
2673-CXQEU,3,4,5,345,Loyal Customers
6416-JNVRK,4,4,4,444,Champions
5590-ZSKRV,3,2,2,322,About to Sleep
0191-ZHSKZ,3,3,4,334,Loyal Customers
3887-PBQAO,5,4,3,543,Potential Loyalists
5919-TMRGD,1,1,1,111,Lost Customers
8108-UXRQN,2,2,2,222,Lost Customers
9191-MYQKX,1,2,2,122,Lost Customers
9919-YLNNG,2,4,4,244,At Risk
0318-ZOPWS,5,4,3,543,Potential Loyalists
4445-ZJNMU,1,2,2,122,Lost Customers
4808-YNLEU,4,3,4,434,Loyal Customers
1862-QRWPE,5,4,3,543,Potential Loyalists
2796-NNUFI,5,4,2,542,Potential Loyalists
3016-KSVCP,3,3,3,333,Potential Loyalists
4767-HZZHQ,3,3,4,334,Loyal Customers
2424-WVHPL,1,1,1,111,Lost Customers
7233-PAHHL,5,5,5,555,Champions
6067-NGCEU,2,5,5,255,At Risk
9848-JQJTX,4,5,5,455,Champions
8637-XJIVR,1,2,2,122,Lost Customers
9803-FTJCG,5,5,5,555,Champions
0278-YXOOG,3,1,1,311,About to Sleep
3212-KXOCR,5,4,3,543,Potential Loyalists
4598-XLKNJ,1,3,4,134,At Risk
6380-ARCEH,3,1,1,311,About to Sleep
3679-XASPY,2,1,1,211,Lost Customers
7123-WQUHX,3,3,4,334,Loyal Customers
5386-THSLQ,4,5,4,454,Champions
3192-NQECA,4,5,5,455,Champions
6180-YBIQI,2,1,1,211,Lost Customers
6728-DKUCO,3,5,5,355,Loyal Customers
9750-BOOHV,4,3,2,432,Potential Loyalists
8597-CWYHH,3,4,4,344,Loyal Customers
2848-YXSMW,5,5,3,553,Potential Loyalists
0486-HECZI,2,4,5,245,At Risk
4549-ZDQYY,5,4,4,544,Champions
5712-AHQNN,2,4,4,244,At Risk
4846-WHAFZ,2,3,4,234,At Risk
5256-SKJGO,4,5,4,454,Champions
3071-VBYPO,1,1,1,111,Lost Customers
9560-BBZXK,5,3,3,533,Potential Loyalists
5299-RULOA,1,2,3,123,Lost Customers
8402-OOOHJ,5,4,2,542,Potential Loyalists
9445-ZUEQE,3,3,4,334,Loyal Customers
1091-SOZGA,3,4,5,345,Loyal Customers
2928-HLDBA,3,1,1,311,About to Sleep
0404-SWRVG,1,1,1,111,Lost Customers
6497-TILVL,3,2,2,322,About to Sleep
7219-TLZHO,3,1,1,311,About to Sleep
4622-YNKIJ,4,3,4,434,Loyal Customers
4412-YLTKF,1,3,4,134,At Risk
